"chemical_input_pkey","study_year","treatment_fkey","treatment","treatment_long","crop","blocks","chemical_purpose","application_timing","application_date","application_mode","trade_name","active_ingredient","active_ingredient_concentration_value","active_ingredient_concentration_unit","application_rate_value_active_ingredient","application_rate_unit_active_ingredient","reference_chemical","application_rate_of_reference_chemical_value","application_rate_of_reference_chemical_unit","tractor","implement","original_entry","comment"
11,"2008",5,"PF","prairie_fertilized","prairie_fertilized","1, 2, 3, 4","fertilizer","pre-emergence",2008-05-06,"spreader","Triple superphosphate (TSP)","monocalcium phosphate (Ca(H2PO4)2)",NA,NA,NA,NA,"phosphorus pentoxide (P2O5)",70,"lb_per_ac",NA,NA,"P and K applied broadcast to entire field area: 70 lb/a P2O5 and 130 lb/a K20","30 lbs P/acre"
12,"2008",6,"S2","soy_corn_rotation","soybean","1, 2, 3, 4","fertilizer","pre-emergence",2008-05-06,"spreader","Triple superphosphate (TSP)","monocalcium phosphate (Ca(H2PO4)2)",NA,NA,NA,NA,"phosphorus pentoxide (P2O5)",70,"lb_per_ac",NA,NA,"P and K applied broadcast to entire field area: 70 lb/a P2O5 and 130 lb/a K20","30 lbs P/acre"
13,"2008",3,"CCW","continuous_corn_cover_crop_stover_removed","corn_rye","1, 2, 3, 4","fertilizer","pre-emergence",2008-05-15,"injection","UAN","urea ammonium nitrate",28,"percent",NA,NA,"nitrogen (N)",65,"lb_per_ac",NA,NA,"Plant corn - Agrigold 6325 VT3 (104-d) @ 32,200 sds/a on all corn plots in COBS area and in extra area on east side.  65 lb./a N (28% UAN injected at 3"" depth; 4"" to side of each row).",NA
14,"2008",2,"CC","continuous_corn_stover_removed","corn","1, 2, 3, 4","fertilizer","pre-emergence",2008-05-15,"injection","UAN","urea ammonium nitrate",28,"percent",NA,NA,"nitrogen (N)",65,"lb_per_ac",NA,NA,"Plant corn - Agrigold 6325 VT3 (104-d) @ 32,200 sds/a on all corn plots in COBS area and in extra area on east side.  65 lb./a N (28% UAN injected at 3"" depth; 4"" to side of each row).",NA
15,"2008",1,"C2","corn_soy_rotation","corn","1, 2, 3, 4","fertilizer","pre-emergence",2008-05-15,"injection","UAN","urea ammonium nitrate",28,"percent",NA,NA,"nitrogen (N)",65,"lb_per_ac",NA,NA,"Plant corn - Agrigold 6325 VT3 (104-d) @ 32,200 sds/a on all corn plots in COBS area and in extra area on east side.  65 lb./a N (28% UAN injected at 3"" depth; 4"" to side of each row).",NA
16,"2008",3,"CCW","continuous_corn_cover_crop_stover_removed","corn_rye","1, 2, 3, 4","fertilizer","post-emergence",2008-06-17,NA,"not_listed",NA,22,"critical_value_ppm",NA,NA,"nitrogen (N)",90,"lb_per_ac",NA,NA,"Soil sampled all corn plots center 12 rows; Twenty-five 12"" depth 0.75"" diam. cores for LSNT: CC= 10 ppm, C2= 10 ppm, CCW= 10 ppm, extra corn = 11 ppm","Decided to apply 90 lb/a additional fertilizer N - used critical value of 22 ppm."
17,"2008",2,"CC","continuous_corn_stover_removed","corn","1, 2, 3, 4","fertilizer","post-emergence",2008-06-17,NA,"not_listed",NA,22,"critical_value_ppm",NA,NA,"nitrogen (N)",90,"lb_per_ac",NA,NA,"Soil sampled all corn plots center 12 rows; Twenty-five 12"" depth 0.75"" diam. cores for LSNT: CC= 10 ppm, C2= 10 ppm, CCW= 10 ppm, extra corn = 11 ppm.","Decided to apply 90 lb/a additional fertilizer N - used critical value of 22 ppm."
18,"2008",1,"C2","corn_soy_rotation","corn","1, 2, 3, 4","fertilizer","post-emergence",2008-06-17,NA,"not_listed",NA,22,"critical_value_ppm",NA,NA,"nitrogen (N)",90,"lb_per_ac",NA,NA,"Soil sampled all corn plots center 12 rows; Twenty-five 12"" depth 0.75"" diam. cores for LSNT: CC= 10 ppm, C2= 10 ppm, CCW= 10 ppm, extra corn = 11 ppm","Decided to apply 90 lb/a additional fertilizer N - used critical value of 22 ppm."
19,"2008",3,"CCW","continuous_corn_cover_crop_stover_removed","corn_rye","1, 2, 3, 4","fertilizer","post-emergence",2008-06-24,"injection","UAN","urea ammonium nitrate",32,"percent",NA,NA,"nitrogen (N)",90,"lb_per_ac",NA,"unspecified planter (12-row)","Applied 32% UAN: 90 lb N/a to each corn plot with 12 row unit with one injector between each row",NA
20,"2008",2,"CC","continuous_corn_stover_removed","corn","1, 2, 3, 4","fertilizer","post-emergence",2008-06-24,"injection","UAN","urea ammonium nitrate",32,"percent",NA,NA,"nitrogen (N)",90,"lb_per_ac",NA,"unspecified planter (12-row)","Applied 32% UAN: 90 lb N/a to each corn plot with 12 row unit with one injector between each row",NA
21,"2008",1,"C2","corn_soy_rotation","corn","1, 2, 3, 4","fertilizer","post-emergence",2008-06-24,"injection","UAN","urea ammonium nitrate",32,"percent",NA,NA,"nitrogen (N)",90,"lb_per_ac",NA,"unspecified planter (12-row)","Applied 32% UAN: 90 lb N/a to each corn plot with 12 row unit with one injector between each row",NA
22,"2008",6,"S2","soy_corn_rotation","soybean","1, 2, 3, 4","adjuvant","post-emergence",2008-07-01,"broadcast","Formula 1","ammonium sulfate + glycerol + ammonium sodium phosphate + ammonium sodium citrate + polyacrylamide copolymer",0.25,"percent_volume_per_volume",32,"oz_per_ac",NA,NA,NA,NA,NA,"On each soybean plot: - Broadcast 32 oz./acre ""Glystar Plus"" (41% glyphosate) .","+ 0.25% v/v ""Formula One"" anti-foam surfactant + 10 lb/100 gal AMS salt: in 21.1 gpa carrier volume"
23,"2008",6,"S2","soy_corn_rotation","soybean","1, 2, 3, 4","adjuvant","post-emergence",2008-07-01,"broadcast","not_listed","ammonium sulfate ((NH4)2SO4)",0.1,"lb_per_gal",21.1,"gal_per_ac",NA,NA,NA,NA,NA,"On each soybean plot: - Broadcast 32 oz./acre ""Glystar Plus"" (41% glyphosate) .","+ 0.25% v/v ""Formula One"" anti-foam surfactant + 10 lb/100 gal AMS salt: in 21.1 gpa carrier volume"
24,"2008",6,"S2","soy_corn_rotation","soybean","1, 2, 3, 4","herbicide","post-emergence",2008-07-01,"broadcast","GlyStar Plus","glyphosate",41,"percent",32,"oz_per_ac",NA,NA,NA,NA,NA,"On each soybean plot: - Broadcast 32 oz./acre ""Glystar Plus"" (41% glyphosate) 										
	+ 0.25% v/v ""Formula One"" anti-foam surfactant + 10 lb/100 gal AMS salt: in 21.1 gpa carrier volume",NA
25,"2008",3,"CCW","continuous_corn_cover_crop_stover_removed","corn_rye","1, 2, 3, 4","manual_weeding","post-emergence",2008-07-02,"hand_hoeing","not_listed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Weeded each corn plot by hand hoeing",NA
26,"2008",2,"CC","continuous_corn_stover_removed","corn","1, 2, 3, 4","manual_weeding","post-emergence",2008-07-02,"hand_hoeing","not_listed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Weeded each corn plot by hand hoeing",NA
27,"2008",1,"C2","corn_soy_rotation","corn","1, 2, 3, 4","manual_weeding","post-emergence",2008-07-02,"hand_hoeing","not_listed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Weeded each corn plot by hand hoeing",NA
28,"2009",5,"PF","prairie_fertilized","prairie_fertilized","1, 2, 3, 4","fertilizer","post-emergence",2009-04-17,"drop_spreader","not_listed","ammonium nitrate (NH4NO3)",NA,NA,NA,NA,"nitrogen (N)",75,"lb_per_ac",NA,"Gandy drop spreader (12.5-foot wide)","Ammonium nitrate applied: 75 lb N/ac on PF plots and Emily's 4 switchgrass plots / used 12.5' wide Gandy drop spreader",NA
29,"2009",3,"CCW","continuous_corn_cover_crop_stover_removed","corn_rye","1, 2, 3, 4","herbicide","pre-emergence",2009-05-06,"broadcast","Roundup WeatherMAX","glyphosate",48.8,"percent",32,"oz_per_ac",NA,NA,NA,NA,NA,"On each CCW plot: - Broadcast 32 oz./acre ""Roundup WeatherMAX"" (48.8% glyphosate) to kill winter rye",NA
30,"2009",3,"CCW","continuous_corn_cover_crop_stover_removed","corn_rye","1","fertilizer","pre-emergence",2009-05-07,"injection","UAN","urea ammonium nitrate",32,"percent",NA,NA,"nitrogen (N)",75,"lb_per_ac",NA,NA,"Plant corn block 1  - Agrigold 6325 VT3 (104-d) @ 33,400 sds/a.  75 lb./a N (32% UAN injected at 3"" depth; 4"" to side of each row). (no-till) Corn emerged 5-19-09",NA
31,"2009",2,"CC","continuous_corn_stover_removed","corn","1","fertilizer","pre-emergence",2009-05-07,"injection","UAN","urea ammonium nitrate",32,"percent",NA,NA,"nitrogen (N)",75,"lb_per_ac",NA,NA,"Plant corn block 1  - Agrigold 6325 VT3 (104-d) @ 33,400 sds/a.  75 lb./a N (32% UAN injected at 3"" depth; 4"" to side of each row). (no-till) Corn emerged 5-19-09",NA
32,"2009",1,"C2","corn_soy_rotation","corn","1","fertilizer","pre-emergence",2009-05-07,"injection","UAN","urea ammonium nitrate",32,"percent",NA,NA,"nitrogen (N)",75,"lb_per_ac",NA,NA,"Plant corn block 1  - Agrigold 6325 VT3 (104-d) @ 33,400 sds/a.  75 lb./a N (32% UAN injected at 3"" depth; 4"" to side of each row). (no-till) Corn emerged 5-19-09",NA
33,"2009",3,"CCW","continuous_corn_cover_crop_stover_removed","corn_rye","2, 3, 4","fertilizer","pre-emergence",2009-05-08,"injection","UAN","urea ammonium nitrate",32,"percent",NA,NA,"nitrogen (N)",75,"lb_per_ac",NA,NA,"Plant corn blocks 2-4 and all of Emily's corn plots on east side.   - Agrigold 6325 VT3 (104-d) @ 33,700 sds/a. 75 lb./a N (32% UAN injected).  No-till.",NA
34,"2009",2,"CC","continuous_corn_stover_removed","corn","2, 3, 4","fertilizer","pre-emergence",2009-05-08,"injection","UAN","urea ammonium nitrate",32,"percent",NA,NA,"nitrogen (N)",75,"lb_per_ac",NA,NA,"Plant corn blocks 2-4 and all of Emily's corn plots on east side.   - Agrigold 6325 VT3 (104-d) @ 33,700 sds/a. 75 lb./a N (32% UAN injected).  No-till.",NA
35,"2009",1,"C2","corn_soy_rotation","corn","2, 3, 4","fertilizer","pre-emergence",2009-05-08,"injection","UAN","urea ammonium nitrate",32,"percent",NA,NA,"nitrogen (N)",75,"lb_per_ac",NA,NA,"Plant corn blocks 2-4 and all of Emily's corn plots on east side.   - Agrigold 6325 VT3 (104-d) @ 33,700 sds/a. 75 lb./a N (32% UAN injected).  No-till.",NA
36,"2009",3,"CCW","continuous_corn_cover_crop_stover_removed","corn_rye","1, 2, 3, 4","adjuvant","post-emergence",2009-05-29,"broadcast","Formula 1","ammonium sulfate + glycerol + ammonium sodium phosphate + ammonium sodium citrate + polyacrylamide copolymer",0.6,"percent_volume_per_volume",28,"oz_per_ac",NA,NA,NA,NA,NA,"Spray 41% glyphosate on all corn : 32 oz/a Glystar Plus + 0.6% V/V Formula I on C2 and  CC; 28 oz/a Glystar Plus + 0.6% V/V Formula I on  CCW",NA
37,"2009",2,"CC","continuous_corn_stover_removed","corn","1, 2, 3, 4","adjuvant","post-emergence",2009-05-29,"broadcast","Formula 1","ammonium sulfate + glycerol + ammonium sodium phosphate + ammonium sodium citrate + polyacrylamide copolymer",0.6,"percent_volume_per_volume",32,"oz_per_ac",NA,NA,NA,NA,NA,"Spray 41% glyphosate on all corn : 32 oz/a Glystar Plus + 0.6% V/V Formula I on C2 and  CC; 28 oz/a Glystar Plus + 0.6% V/V Formula I on  CCW",NA
38,"2009",1,"C2","corn_soy_rotation","corn","1, 2, 3, 4","adjuvant","post-emergence",2009-05-29,"broadcast","Formula 1","ammonium sulfate + glycerol + ammonium sodium phosphate + ammonium sodium citrate + polyacrylamide copolymer",0.6,"percent_volume_per_volume",32,"oz_per_ac",NA,NA,NA,NA,NA,"Spray 41% glyphosate on all corn : 32 oz/a Glystar Plus + 0.6% V/V Formula I on C2 and  CC; 28 oz/a Glystar Plus + 0.6% V/V Formula I on  CCW",NA
39,"2009",3,"CCW","continuous_corn_cover_crop_stover_removed","corn_rye","1, 2, 3, 4","herbicide","post-emergence",2009-05-29,"broadcast","GlyStar Plus","glyphosate",41,"percent",28,"oz_per_ac",NA,NA,NA,NA,NA,"Spray 41% glyphosate on all corn : 32 oz/a Glystar Plus + 0.6% V/V Formula I on C2 and  CC; 28 oz/a Glystar Plus + 0.6% V/V Formula I on  CCW",NA
40,"2009",2,"CC","continuous_corn_stover_removed","corn","1, 2, 3, 4","herbicide","post-emergence",2009-05-29,"broadcast","GlyStar Plus","glyphosate",41,"percent",32,"oz_per_ac",NA,NA,NA,NA,NA,"Spray 41% glyphosate on all corn : 32 oz/a Glystar Plus + 0.6% V/V Formula I on C2 and  CC; 28 oz/a Glystar Plus + 0.6% V/V Formula I on  CCW",NA
41,"2009",1,"C2","corn_soy_rotation","corn","1, 2, 3, 4","herbicide","post-emergence",2009-05-29,"broadcast","GlyStar Plus","glyphosate",41,"percent",32,"oz_per_ac",NA,NA,NA,NA,NA,"Spray 41% glyphosate on all corn : 32 oz/a Glystar Plus + 0.6% V/V Formula I on C2 and  CC; 28 oz/a Glystar Plus + 0.6% V/V Formula I on  CCW",NA
42,"2009",6,"S2","soy_corn_rotation","soybean","1, 2, 3, 4","adjuvant","post-emergence",2009-06-04,"broadcast","Formula 1","ammonium sulfate + glycerol + ammonium sodium phosphate + ammonium sodium citrate + polyacrylamide copolymer",0.5,"percent_volume_per_volume",32,"oz_per_ac",NA,NA,NA,NA,NA,"Spray glyphosate on soybean plots - 32 oz/a Roundup Weathermax + 0.5% V/V Formula I",NA
43,"2009",6,"S2","soy_corn_rotation","soybean","1, 2, 3, 4","herbicide","post-emergence",2009-06-04,"broadcast","Roundup WeatherMAX","glyphosate",41,"percent",32,"oz_per_ac",NA,NA,NA,NA,NA,"Spray glyphosate on soybean plots - 32 oz/a Roundup Weathermax + 0.5% V/V Formula I",NA
44,"2009",3,"CCW","continuous_corn_cover_crop_stover_removed","corn_rye","1, 2, 3, 4","fertilizer","post-emergence",2009-06-17,"injection","not_listed","urea ammonium nitrate",32,"percent",NA,NA,"nitrogen (N)",120,"lb_per_ac",NA,"unspecified planter (6-row)","Applied 32% N to corn plots: 50 lb N/a to C2, 75 lb/a on CC, 120 lb/a on CCW and Emily's. Used 6 row unit with one injector between alternate row middles.","one injector between alternate middle rows"
45,"2009",2,"CC","continuous_corn_stover_removed","corn","1, 2, 3, 4","fertilizer","post-emergence",2009-06-17,"injection","not_listed","urea ammonium nitrate",32,"percent",NA,NA,"nitrogen (N)",75,"lb_per_ac",NA,"unspecified planter (6-row)","Applied 32% N to corn plots: 50 lb N/a to C2, 75 lb/a on CC, 120 lb/a on CCW and Emily's. Used 6 row unit with one injector between alternate row middles.",NA
46,"2009",1,"C2","corn_soy_rotation","corn","1, 2, 3, 4","fertilizer","post-emergence",2009-06-17,"injection","not_listed","urea ammonium nitrate",32,"percent",NA,NA,"nitrogen (N)",40,"lb_per_ac",NA,"unspecified planter (6-row)","Applied 32% N to corn plots: 50 lb N/a to C2, 75 lb/a on CC, 120 lb/a on CCW and Emily's. Used 6 row unit with one injector between alternate row middles.",NA
47,"2009",3,"CCW","continuous_corn_cover_crop_stover_removed","corn_rye","1, 2, 3, 4","adjuvant","post-emergence",2009-06-23,"broadcast_below_canopy","Formula 1","ammonium sulfate + glycerol + ammonium sodium phosphate + ammonium sodium citrate + polyacrylamide copolymer",0.3,"percent_volume_per_volume",24,"oz_per_ac",NA,NA,NA,NA,NA,"Spray 41% glyphosate on CC & CCW corn : 24 oz/a Glystar Plus + 0.3% V/V Formula I.  Directed band units to broadcast spray below corn canopy.","Directed band units to broadcast spray below corn canopy"
48,"2009",2,"CC","continuous_corn_stover_removed","corn","1, 2, 3, 4","adjuvant","post-emergence",2009-06-23,"broadcast_below_canopy","Formula 1","ammonium sulfate + glycerol + ammonium sodium phosphate + ammonium sodium citrate + polyacrylamide copolymer",0.3,"percent_volume_per_volume",24,"oz_per_ac",NA,NA,NA,NA,NA,"Spray 41% glyphosate on CC & CCW corn : 24 oz/a Glystar Plus + 0.3% V/V Formula I.  Directed band units to broadcast spray below corn canopy.","Directed band units to broadcast spray below corn canopy"
49,"2009",3,"CCW","continuous_corn_cover_crop_stover_removed","corn_rye","1, 2, 3, 4","herbicide","post-emergence",2009-06-23,"broadcast_below_canopy","GlyStar Plus","glyphosate",41,"percent",24,"oz_per_ac",NA,NA,NA,NA,NA,"Spray 41% glyphosate on CC & CCW corn : 24 oz/a Glystar Plus + 0.3% V/V Formula I.  Directed band units to broadcast spray below corn canopy.","Directed band units to broadcast spray below corn canopy"
50,"2009",2,"CC","continuous_corn_stover_removed","corn","1, 2, 3, 4","herbicide","post-emergence",2009-06-23,"broadcast_below_canopy","GlyStar Plus","glyphosate",41,"percent",24,"oz_per_ac",NA,NA,NA,NA,NA,"Spray 41% glyphosate on CC & CCW corn : 24 oz/a Glystar Plus + 0.3% V/V Formula I.  Directed band units to broadcast spray below corn canopy.","Directed band units to broadcast spray below corn canopy"
51,"2009",6,"S2","soy_corn_rotation","soybean","1, 2, 3, 4","adjuvant","post-emergence",2009-07-01,"broadcast_below_canopy","Formula 1","ammonium sulfate + glycerol + ammonium sodium phosphate + ammonium sodium citrate + polyacrylamide copolymer",0.5,"percent_volume_per_volume",26,"oz_per_ac",NA,NA,NA,NA,NA,"Second application of Roundup soybean plots - 26 oz/a 41% glyphosate Glystar Plus + 0.5% V/V Formula I  (Directed band units to broadcast spray below SB canopy.)",NA
52,"2009",6,"S2","soy_corn_rotation","soybean","1, 2, 3, 4","herbicide","post-emergence",2009-07-01,"broadcast_below_canopy","GlyStar Plus","glyphosate",41,"percent",26,"oz_per_ac",NA,NA,NA,NA,NA,"Second application of Roundup soybean plots - 26 oz/a 41% glyphosate Glystar Plus + 0.5% V/V Formula I  (Directed band units to broadcast spray below SB canopy.)","Directed band units to broadcast spray below SB canopy"
53,"2010",3,"CCW","continuous_corn_cover_crop_stover_removed","corn_rye","1, 2, 3, 4","fertilizer","pre-emergence",2009-12-04,"spinner_spreader","Monoammonium phosphate (MAP)","monoammonium phosphate (NH4H2PO4)",NA,NA,NA,NA,"nitrogen (N)",21,"lb_per_ac",NA,"unspecified spinner-type spreader","Applied P and K  (MAP+K20 blend ) (21 N -100 lb/a P2O5 -100 lb/a K20) to each C and SB plot with large broadcast spinner pull-type spreader (45' wide spread width), two passes per plot","45' wide spread width, two passes per plot"
54,"2010",3,"CCW","continuous_corn_cover_crop_stover_removed","corn_rye","1, 2, 3, 4","fertilizer","pre-emergence",2009-12-04,"spinner_spreader","Monoammonium phosphate (MAP)","monoammonium phosphate (NH4H2PO4)",NA,NA,100,"lb_per_ac",NA,NA,NA,NA,"unspecified spinner-type spreader","Applied P and K  (MAP+K20 blend ) (21 N -100 lb/a P2O5 -100 lb/a K20) to each C and SB plot with large broadcast spinner pull-type spreader (45' wide spread width), two passes per plot","45' wide spread width, two passes per plot"
55,"2010",2,"CC","continuous_corn_stover_removed","corn","1, 2, 3, 4","fertilizer","pre-emergence",2009-12-04,"spinner_spreader","Monoammonium phosphate (MAP)","monoammonium phosphate (NH4H2PO4)",NA,NA,NA,NA,"nitrogen (N)",21,"lb_per_ac",NA,"unspecified spinner-type spreader","Applied P and K  (MAP+K20 blend ) (21 N -100 lb/a P2O5 -100 lb/a K20) to each C and SB plot with large broadcast spinner pull-type spreader (45' wide spread width), two passes per plot","45' wide spread width, two passes per plot"
56,"2010",2,"CC","continuous_corn_stover_removed","corn","1, 2, 3, 4","fertilizer","pre-emergence",2009-12-04,"spinner_spreader","Monoammonium phosphate (MAP)","monoammonium phosphate (NH4H2PO4)",NA,NA,100,"lb_per_ac",NA,NA,NA,NA,"unspecified spinner-type spreader","Applied P and K  (MAP+K20 blend ) (21 N -100 lb/a P2O5 -100 lb/a K20) to each C and SB plot with large broadcast spinner pull-type spreader (45' wide spread width), two passes per plot","45' wide spread width, two passes per plot"
57,"2010",1,"C2","corn_soy_rotation","corn","1, 2, 3, 4","fertilizer","pre-emergence",2009-12-04,"spinner_spreader","Monoammonium phosphate (MAP)","monoammonium phosphate (NH4H2PO4)",NA,NA,NA,NA,"nitrogen (N)",21,"lb_per_ac",NA,"unspecified spinner-type spreader","Applied P and K  (MAP+K20 blend ) (21 N -100 lb/a P2O5 -100 lb/a K20) to each C and SB plot with large broadcast spinner pull-type spreader (45' wide spread width), two passes per plot","45' wide spread width, two passes per plot"
58,"2010",1,"C2","corn_soy_rotation","corn","1, 2, 3, 4","fertilizer","pre-emergence",2009-12-04,"spinner_spreader","Monoammonium phosphate (MAP)","monoammonium phosphate (NH4H2PO4)",NA,NA,100,"lb_per_ac",NA,NA,NA,NA,"unspecified spinner-type spreader","Applied P and K  (MAP+K20 blend ) (21 N -100 lb/a P2O5 -100 lb/a K20) to each C and SB plot with large broadcast spinner pull-type spreader (45' wide spread width), two passes per plot","45' wide spread width, two passes per plot"
59,"2010",6,"S2","soy_corn_rotation","soybean","1, 2, 3, 4","fertilizer","pre-emergence",2009-12-04,"spinner_spreader","Monoammonium phosphate (MAP)","monoammonium phosphate (NH4H2PO4)",NA,NA,NA,NA,"nitrogen (N)",21,"lb_per_ac",NA,"unspecified spinner-type spreader","Applied P and K  (MAP+K20 blend ) (21 N -100 lb/a P2O5 -100 lb/a K20) to each C and SB plot with large broadcast spinner pull-type spreader (45' wide spread width), two passes per plot","45' wide spread width, two passes per plot"
60,"2010",6,"S2","soy_corn_rotation","soybean","1, 2, 3, 4","fertilizer","pre-emergence",2009-12-04,"spinner_spreader","Monoammonium phosphate (MAP)","monoammonium phosphate (NH4H2PO4)",NA,NA,100,"lb_per_ac",NA,NA,NA,NA,"unspecified spinner-type spreader","Applied P and K  (MAP+K20 blend ) (21 N -100 lb/a P2O5 -100 lb/a K20) to each C and SB plot with large broadcast spinner pull-type spreader (45' wide spread width), two passes per plot","45' wide spread width, two passes per plot"
61,"2010",3,"CCW","continuous_corn_cover_crop_stover_removed","corn_rye","1, 2, 3, 4","fertilizer","pre-emergence",2009-12-04,"spinner_spreader","not_listed","potassium oxide (K2O)",NA,NA,100,"lb_per_ac",NA,NA,NA,NA,"unspecified spinner-type spreader","Applied P and K  (MAP+K20 blend ) (21 N -100 lb/a P2O5 -100 lb/a K20) to each C and SB plot with large broadcast spinner pull-type spreader (45' wide spread width), two passes per plot","45' wide spread width, two passes per plot"
62,"2010",2,"CC","continuous_corn_stover_removed","corn","1, 2, 3, 4","fertilizer","pre-emergence",2009-12-04,"spinner_spreader","not_listed","potassium oxide (K2O)",NA,NA,100,"lb_per_ac",NA,NA,NA,NA,"unspecified spinner-type spreader","Applied P and K  (MAP+K20 blend ) (21 N -100 lb/a P2O5 -100 lb/a K20) to each C and SB plot with large broadcast spinner pull-type spreader (45' wide spread width), two passes per plot","45' wide spread width, two passes per plot"
63,"2010",1,"C2","corn_soy_rotation","corn","1, 2, 3, 4","fertilizer","pre-emergence",2009-12-04,"spinner_spreader","not_listed","potassium oxide (K2O)",NA,NA,100,"lb_per_ac",NA,NA,NA,NA,"unspecified spinner-type spreader","Applied P and K  (MAP+K20 blend ) (21 N -100 lb/a P2O5 -100 lb/a K20) to each C and SB plot with large broadcast spinner pull-type spreader (45' wide spread width), two passes per plot","45' wide spread width, two passes per plot"
64,"2010",6,"S2","soy_corn_rotation","soybean","1, 2, 3, 4","fertilizer","pre-emergence",2009-12-04,"spinner_spreader","not_listed","potassium oxide (K2O)",NA,NA,100,"lb_per_ac",NA,NA,NA,NA,"unspecified spinner-type spreader","Applied P and K  (MAP+K20 blend ) (21 N -100 lb/a P2O5 -100 lb/a K20) to each C and SB plot with large broadcast spinner pull-type spreader (45' wide spread width), two passes per plot","45' wide spread width, two passes per plot"
