"harvest_activity_pkey","study_year","treatment_fkey","treatment","treatment_long","blocks","crop","activity_date","activity","cutting_height_inches","tractor","implement","swath_value","swath_units","original_entry","comment"
11,"2008",2,"CC","continuous_corn_stover_removed","1, 2, 3, 4","corn_grain",2008-10-21,"harvest_grain_combine",NA,NA,"John Deere 4420 combine",5,"rows","Harvest all corn and soybean plots with 5-row 4420 combine, no stover removal - corn yield was 188 bu/a (adjusted to 15.5% moisture)","Attempted to harvest 10/10 with large split-stream combine- hydraulic hose broke. Attempted to harvest 10/13 with large split-stream combine- wagon hitch broke."
12,"2008",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","corn_grain",2008-10-21,"harvest_grain_combine",NA,NA,"John Deere 4420 combine",5,"rows","Harvest all corn and soybean plots with 5-row 4420 combine, no stover removal - corn yield was 188 bu/a (adjusted to 15.5% moisture)","Attempted to harvest 10/10 with large split-stream combine- hydraulic hose broke. Attempted to harvest 10/13 with large split-stream combine- wagon hitch broke."
13,"2008",6,"S2","soy_corn_rotation","1, 2, 3, 4","soybean_grain",2008-10-21,"harvest_grain_combine",NA,NA,"John Deere 4420 combine",5,"rows","Harvest all corn and soybean plots with 5-row 4420 combine, no stover removal - corn yield was 188 bu/a (adjusted to 15.5% moisture)",NA
14,"2008",2,"CC","continuous_corn_stover_removed","1, 2, 3, 4","corn_stover",2008-10-28,"chop_stover",NA,NA,"flail chopper",15,"feet","Shredded corn stalks on CC and CCW corn plots with 15' flail chopper",NA
15,"2008",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","corn_stover",2008-10-28,"chop_stover",NA,NA,"flail chopper",15,"feet","Shredded corn stalks on CC and CCW corn plots with 15' flail chopper",NA
16,"2008",4,"P","prairie","1, 2, 3, 4","prairie_biomass",2008-10-29,"collect_litter",NA,NA,NA,NA,NA,"Prairie aboveground biomass (& litter) sampled w/ 4 - 0.5m^2 quadrats/plot (litter = 4 - 0.1m^2 quadrats/plot)","no equipment mentioned"
17,"2008",5,"PF","prairie_fertilized","1, 2, 3, 4","prairie_biomass",2008-10-29,"collect_litter",NA,NA,NA,NA,NA,"Prairie aboveground biomass (& litter) sampled w/ 4 - 0.5m^2 quadrats/plot (litter = 4 - 0.1m^2 quadrats/plot)",NA
18,"2008",4,"P","prairie","1, 2, 3, 4","prairie_biomass",2008-10-29,"harvest_plant_hand",NA,NA,NA,NA,NA,"Prairie aboveground biomass (& litter) sampled w/ 4 - 0.5m^2 quadrats/plot (litter = 4 - 0.1m^2 quadrats/plot)",NA
19,"2008",5,"PF","prairie_fertilized","1, 2, 3, 4","prairie_biomass",2008-10-29,"harvest_plant_hand",NA,NA,NA,NA,NA,"Prairie aboveground biomass (& litter) sampled w/ 4 - 0.5m^2 quadrats/plot (litter = 4 - 0.1m^2 quadrats/plot)",NA
20,"2008",2,"CC","continuous_corn_stover_removed","1, 2, 3, 4","corn_stover",2008-10-30,"bale_stover",NA,NA,NA,NA,NA,"Rake and bale corn stover on CC, CCW. Avg stover removed was 2.05 dry tons/acre = 57% corn stover removed",NA
21,"2008",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","corn_stover",2008-10-30,"bale_stover",NA,NA,NA,NA,NA,"Rake and bale corn stover on CC, CCW. Avg stover removed was 2.05 dry tons/acre = 57% corn stover removed",NA
22,"2008",2,"CC","continuous_corn_stover_removed","1, 2, 3, 4","corn_stover",2008-11-04,"weigh_stover",NA,NA,NA,NA,NA,"Weighed corn stover bales",NA
23,"2008",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","corn_stover",2008-11-04,"weigh_stover",NA,NA,NA,NA,NA,"Weighed corn stover bales",NA
24,"2009",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","rye",2009-05-05,"harvest_plant_hand",NA,NA,NA,NA,NA,"Sampled rye in CCW plots: Each plot 4 random (0.4 m2) areas.  Whole plants dug with spade to 5 to 6"" depth to be processed for root and top biomass and TC/TN",NA
25,"2009",6,"S2","soy_corn_rotation","1, 2, 3, 4","soybean_stover",2009-09-30,"collect_litter",NA,NA,NA,NA,NA,"Harvest soybean areas (whole plants and abscised leaves) - four 25 ft2 areas from each plot and threshed 10-5-09.  - Weighed grain and stover for harvest index, Grain yield was 55 bu/a.  Hand harvest soybean grain yield was 54.7 bu/acre; Dry HI = 54.5%; Dry stover yield (stems + pods) was 2,379 lb/acre",NA
26,"2009",6,"S2","soy_corn_rotation","1, 2, 3, 4","soybean_whole_plant",2009-09-30,"harvest_plant_hand",NA,NA,NA,NA,NA,"Harvest soybean areas (whole plants and abscised leaves) - four 25 ft2 areas from each plot and threshed 10-5-09.  - Weighed grain and stover for harvest index, Grain yield was 55 bu/a.  Hand harvest soybean grain yield was 54.7 bu/acre; Dry HI = 54.5%; Dry stover yield (stems + pods) was 2,379 lb/acre",NA
27,"2009",1,"C2","corn_soy_rotation","1, 2, 3, 4","corn_whole_plant",2009-10-12,"harvest_plant_hand",NA,NA,NA,NA,NA,"Hand harvest corn - four 25 ft2 areas from each plot (100 ft2 per plot).  Used 6 represetatitive plants for shell ratio and harvest index determination. Grain yld was ~ 208 bu/a	. Hand harvest grain yields in bu/acre: C2=207, CC=203, CCW=213; Dry HI = 58.0%; Dry stover yield was 3.57 tons/acre",NA
28,"2009",2,"CC","continuous_corn_stover_removed","1, 2, 3, 4","corn_whole_plant",2009-10-12,"harvest_plant_hand",NA,NA,NA,NA,NA,"Hand harvest corn - four 25 ft2 areas from each plot (100 ft2 per plot).  Used 6 represetatitive plants for shell ratio and harvest index determination. Grain yld was ~ 208 bu/a	. Hand harvest grain yields in bu/acre: C2=207, CC=203, CCW=213; Dry HI = 58.0%; Dry stover yield was 3.57 tons/acre",NA
29,"2009",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","corn_whole_plant",2009-10-12,"harvest_plant_hand",NA,NA,NA,NA,NA,"Hand harvest corn - four 25 ft2 areas from each plot (100 ft2 per plot).  Used 6 represetatitive plants for shell ratio and harvest index determination. Grain yld was ~ 208 bu/a	. Hand harvest grain yields in bu/acre: C2=207, CC=203, CCW=213; Dry HI = 58.0%; Dry stover yield was 3.57 tons/acre",NA
30,"2009",6,"S2","soy_corn_rotation","1, 2, 3, 4","soybean_grain",2009-10-13,"harvest_grain_combine",NA,NA,"John Deere 4420 combine",5,"rows","Harvest soybean plots with 5-row 4420 combine (no weigh wagon was available, so no whole plot harvest weights)",NA
31,"2009",4,"P","prairie","1, 2, 3, 4","prairie_biomass",2009-10-13,"harvest_plant_hand",NA,NA,NA,NA,NA,"Final hand harvest in prairie plots. Hand harvest yields in lb/acre: P=8,649  PF=12,023",NA
32,"2009",5,"PF","prairie_fertilized","1, 2, 3, 4","prairie_biomass",2009-10-13,"harvest_plant_hand",NA,NA,NA,NA,NA,"Final hand harvest in prairie plots. Hand harvest yields in lb/acre: P=8,649  PF=12,023",NA
33,"2009",4,"P","prairie","1, 2, 3, 4","prairie_biomass",2009-10-19,"mow","3-8",NA,"John Deere 5830 combine",NA,NA,"Machine harvest Prairie plots with JD 5830 12.5' wide head, 8"" cutting height; material dumped on S end of center isle. Machine harvest yields in lb/acre: P=5,885  PF=7,649",NA
34,"2009",5,"PF","prairie_fertilized","1, 2, 3, 4","prairie_biomass",2009-10-19,"mow","3-8",NA,"John Deere 5830 combine",NA,NA,"Machine harvest Prairie plots with JD 5830 12.5' wide head, 8"" cutting height; material dumped on S end of center isle. Machine harvest yields in lb/acre: P=5,885  PF=7,649",NA
35,"2009",1,"C2","corn_soy_rotation","1, 2, 3, 4","corn_grain",2009-10-21,"harvest_grain_combine",NA,NA,"John Deere 9550 combine",6,"rows","Harvested corn with JD 9550 6-row combine,  weighed rows 7-12 from each edge for yield. Machine harvest grain yields in bu/acre: C2=204, CC=193, CCW=197",NA
36,"2009",2,"CC","continuous_corn_stover_removed","1, 2, 3, 4","corn_grain",2009-10-21,"harvest_grain_combine",NA,NA,"John Deere 9550 combine",6,"rows","Harvested corn with JD 9550 6-row combine,  weighed rows 7-12 from each edge for yield. Machine harvest grain yields in bu/acre: C2=204, CC=193, CCW=197",NA
37,"2009",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","corn_grain",2009-10-21,"harvest_grain_combine",NA,NA,"John Deere 9550 combine",6,"rows","Harvested corn with JD 9550 6-row combine,  weighed rows 7-12 from each edge for yield. Machine harvest grain yields in bu/acre: C2=204, CC=193, CCW=197",NA
38,"2009",2,"CC","continuous_corn_stover_removed","1, 2, 3, 4","corn_stover",2009-11-03,"chop_stover",NA,NA,"flail chopper",15,"feet","Shredded corn stalks on CC and CCW plots with 15' flail chopper",NA
39,"2009",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","corn_stover",2009-11-03,"chop_stover",NA,NA,"flail chopper",15,"feet","Shredded corn stalks on CC and CCW plots with 15' flail chopper",NA
40,"2009",2,"CC","continuous_corn_stover_removed","1, 2, 3, 4","corn_stover",2009-11-06,"bale_stover",NA,NA,NA,NA,NA,"Rake and bale corn stover on CC, CCW						
    Avg stover removed was 0.714 dry tons/acre = 48.5% corn stover removed",NA
41,"2009",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","corn_stover",2009-11-06,"bale_stover",NA,NA,NA,NA,NA,"Rake and bale corn stover on CC, CCW						
    Avg stover removed was 0.714 dry tons/acre = 48.5% corn stover removed",NA
42,"2009",2,"CC","continuous_corn_stover_removed","1, 2, 3, 4","corn_stover",2009-11-12,"weigh_stover",NA,NA,NA,NA,NA,"Weighed 34 corn stover bales",NA
43,"2009",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","corn_stover",2009-11-12,"weigh_stover",NA,NA,NA,NA,NA,"Weighed 34 corn stover bales",NA
44,"2009",2,"CC","continuous_corn_stover_removed","1, 2, 3, 4","corn_stover",2009-11-30,"collect_litter",NA,NA,"Giddings soil sampling coring probe",NA,NA,"Prairie and CC corn plots in all blocks- Collected eight 4"" x 0-30 cm cores with Gidding probe for Ranae's incubation, placed 3"" PVC with caps into holes",NA
45,"2010",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","rye",2010-05-04,"harvest_plant_hand",NA,NA,NA,NA,NA,"Sampled rye shoots for biomass in CCW plots: 4 - areas x ~0.25 m2 each plot",NA
46,"2010",6,"S2","soy_corn_rotation","1, 2, 3, 4","soybean_stover",2010-09-13,"collect_litter",NA,NA,NA,NA,NA,"Harvest soybean areas (whole plants and abscised leaves) - four 25 ft2 areas from each plot and threshed.  - Weighed grain and stover for harvest index, Grain yield was 55 bu/a. Hand harvest soybean grain yield was 54.3 bu/acre; Dry HI = 54.9%; Dry stover yield (stems + pods) was 2,447 lb/acre",NA
47,"2010",6,"S2","soy_corn_rotation","1, 2, 3, 4","soybean_whole_plant",2010-09-13,"harvest_plant_hand",NA,NA,NA,NA,NA,"Harvest soybean areas (whole plants and abscised leaves) - four 25 ft2 areas from each plot and threshed.  - Weighed grain and stover for harvest index, Grain yield was 55 bu/a. Hand harvest soybean grain yield was 54.3 bu/acre; Dry HI = 54.9%; Dry stover yield (stems + pods) was 2,447 lb/acre",NA
48,"2010",6,"S2","soy_corn_rotation","1, 2, 3, 4","soybean_whole_plant",2010-09-13,"thresh",NA,NA,NA,NA,NA,"Harvest soybean areas (whole plants and abscised leaves) - four 25 ft2 areas from each plot and threshed.  - Weighed grain and stover for harvest index, Grain yield was 55 bu/a. Hand harvest soybean grain yield was 54.3 bu/acre; Dry HI = 54.9%; Dry stover yield (stems + pods) was 2,447 lb/acre",NA
49,"2010",1,"C2","corn_soy_rotation","1, 2, 3, 4","corn_whole_plant",2010-09-28,"harvest_plant_hand",NA,NA,NA,NA,NA,"Hand harvest corn - four 25 ft2 areas from each plot (100 ft2 per plot).  Used 6 represetatitive plants for shell ratio and harvest index determination. Grain yld was ~ 164 bu/a.     Hand harvest grain yields in bu/acre: C2=174, CC=162, CCW=159; Dry HI = 55.7%; Dry stover yield was 3.11 tons/acre",NA
50,"2010",2,"CC","continuous_corn_stover_removed","1, 2, 3, 4","corn_whole_plant",2010-09-28,"harvest_plant_hand",NA,NA,NA,NA,NA,"Hand harvest corn - four 25 ft2 areas from each plot (100 ft2 per plot).  Used 6 represetatitive plants for shell ratio and harvest index determination. Grain yld was ~ 164 bu/a.     Hand harvest grain yields in bu/acre: C2=174, CC=162, CCW=159; Dry HI = 55.7%; Dry stover yield was 3.11 tons/acre","C2 was also hand harvested"
51,"2010",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","corn_whole_plant",2010-09-28,"harvest_plant_hand",NA,NA,NA,NA,NA,"Hand harvest corn - four 25 ft2 areas from each plot (100 ft2 per plot).  Used 6 represetatitive plants for shell ratio and harvest index determination. Grain yld was ~ 164 bu/a.     Hand harvest grain yields in bu/acre: C2=174, CC=162, CCW=159; Dry HI = 55.7%; Dry stover yield was 3.11 tons/acre",NA
52,"2010",1,"C2","corn_soy_rotation","1, 2, 3, 4","corn_grain",2010-09-29,"harvest_grain_combine",NA,NA,"John Deere 9950 combine",6,"rows","Harvested corn with JD 9550 6-row combine,  weighed rows 7-12 from each edge for yield.     Machine harvest grain yields in bu/acre: C2=161, CC=157, CCW=156",NA
53,"2010",2,"CC","continuous_corn_stover_removed","1, 2, 3, 4","corn_grain",2010-09-29,"harvest_grain_combine",NA,NA,"John Deere 9950 combine",6,"rows","Harvested corn with JD 9550 6-row combine,  weighed rows 7-12 from each edge for yield.     Machine harvest grain yields in bu/acre: C2=161, CC=157, CCW=156",NA
54,"2010",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","corn_grain",2010-09-29,"harvest_grain_combine",NA,NA,"John Deere 9950 combine",6,"rows","Harvested corn with JD 9550 6-row combine,  weighed rows 7-12 from each edge for yield.     Machine harvest grain yields in bu/acre: C2=161, CC=157, CCW=156",NA
55,"2010",2,"CC","continuous_corn_stover_removed","1, 2, 3, 4","corn_stover",2010-10-01,"bale_stover",NA,NA,NA,NA,NA,"Rake and bale corn stover on CC, CCW and east corn on corn/SG plots. Avg stover removed was 1.31dry tons/acre = 44.4% corn stover removed",NA
56,"2010",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","corn_stover",2010-10-01,"bale_stover",NA,NA,NA,NA,NA,"Rake and bale corn stover on CC, CCW and east corn on corn/SG plots. Avg stover removed was 1.31dry tons/acre = 44.4% corn stover removed",NA
57,"2010",2,"CC","continuous_corn_stover_removed","1, 2, 3, 4","corn_stover",2010-10-01,"chop_stover",NA,NA,"flail chopper",15,"feet","Shredded corn stalks on CC and CCW with 15' flail chopper",NA
58,"2010",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","corn_stover",2010-10-01,"chop_stover",NA,NA,"flail chopper",15,"feet","Shredded corn stalks on CC and CCW with 15' flail chopper",NA
59,"2010",6,"S2","soy_corn_rotation","1, 2, 3, 4","soybean_grain",2010-10-13,"harvest_grain_combine",NA,NA,"John Deere 4420 combine",5,"rows","Harvest soybean plots with 5-row 4420 combine. Machine harvest grain yields in bu/acre: 47.4 bu/acre  (7 bu/acre was shattered from hail storm before harvest)","7 bu/acre was shattered from hail storm"
60,"2010",2,"CC","continuous_corn_stover_removed","1, 2, 3, 4","corn_stover",2010-10-14,"weigh_stover",NA,NA,NA,NA,NA,"Weighed 28 corn stover bales",NA
61,"2010",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","corn_stover",2010-10-14,"weigh_stover",NA,NA,NA,NA,NA,"Weighed 28 corn stover bales",NA
62,"2010",4,"P","prairie","1, 2, 3, 4","prairie_biomass",2010-10-19,"harvest_plant_hand",NA,NA,NA,NA,NA,"Final hand harvest in prairie plots. Hand harvest yields in lb/acre: P=8,116  PF=10,583",NA
63,"2010",5,"PF","prairie_fertilized","1, 2, 3, 4","prairie_biomass",2010-10-19,"harvest_plant_hand",NA,NA,NA,NA,NA,"Final hand harvest in prairie plots. Hand harvest yields in lb/acre: P=8,116  PF=10,583",NA
64,"2010",4,"P","prairie","1, 2, 3, 4","prairie_biomass",2010-10-21,"mow","3-8",NA,"John Deere 5830 combine",NA,NA,"Aboveground biomass was harvested after plant senescence in mid-October 2009-2011. Biomass was first harvested with a self-propelled forage harvester (John Deere model 5830; John Deere Co., Moline, IL, USA) to a cut height of between 8 and 20 cm. Fresh weights of the biomass removed from the plots were determined in the field.",NA
65,"2010",5,"PF","prairie_fertilized","1, 2, 3, 4","prairie_biomass",2010-10-21,"mow","3-8",NA,"John Deere 5830 combine",NA,NA,"Aboveground biomass was harvested after plant senescence in mid-October 2009-2011. Biomass was first harvested with a self-propelled forage harvester (John Deere model 5830; John Deere Co., Moline, IL, USA) to a cut height of between 8 and 20 cm. Fresh weights of the biomass removed from the plots were determined in the field.",NA
66,"2011",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","rye",2011-05-09,"harvest_plant_hand",NA,NA,NA,NA,NA,"Sampled rye shoots for biomass in CCW plots: 4 - areas x ~0.25 m2 each plot",NA
67,"2011",6,"S2","soy_corn_rotation","1, 2, 3, 4","soybean_stover",2011-09-14,"collect_litter",NA,NA,NA,NA,NA,"Harvest soybean areas (whole plants and abscised leaves) - four 25 ft2 areas from each plot and threshed.  - Weighed grain and stover for harvest index, Grain yield was 50.0 bu/a.  Hand harvest soybean grain yield was 50 bu/acre; Dry HI = 54.0%; Dry stover yield (stems + pods) was 2,149 lb/acre",NA
68,"2011",6,"S2","soy_corn_rotation","1, 2, 3, 4","soybean_whole_plant",2011-09-14,"harvest_plant_hand",NA,NA,NA,NA,NA,"Harvest soybean areas (whole plants and abscised leaves) - four 25 ft2 areas from each plot and threshed.  - Weighed grain and stover for harvest index, Grain yield was 50.0 bu/a.  Hand harvest soybean grain yield was 50 bu/acre; Dry HI = 54.0%; Dry stover yield (stems + pods) was 2,149 lb/acre",NA
69,"2011",2,"CC","continuous_corn_stover_removed","1, 2, 3, 4","corn_whole_plant",2011-09-29,"harvest_plant_hand",NA,NA,NA,NA,NA,"Hand harvest corn - four 25 ft2 areas from each plot (100 ft2 per plot).  Used 6 represetatitive plants for shell ratio and harvest index determination. Hand harvest grain yld was 181 bu/a C2, 161 bu/a CC & 157 bu/a CCW.  Harvest index was 61%",NA
70,"2011",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","corn_whole_plant",2011-09-29,"harvest_plant_hand",NA,NA,NA,NA,NA,"Hand harvest corn - four 25 ft2 areas from each plot (100 ft2 per plot).  Used 6 represetatitive plants for shell ratio and harvest index determination. Hand harvest grain yld was 181 bu/a C2, 161 bu/a CC & 157 bu/a CCW.  Harvest index was 61%",NA
71,"2011",6,"S2","soy_corn_rotation","1, 2, 3, 4","soybean_grain",2011-09-30,"harvest_grain_combine",NA,NA,"John Deere 4420 combine",5,"rows","Harvest soybean plots with 5-row 4420 combine (combine grain yield was 56 bu/acre)",NA
72,"2011",1,"C2","corn_soy_rotation","1, 2, 3, 4","corn_grain",2011-10-03,"harvest_grain_combine",NA,NA,"John Deere 9950 combine",6,"rows","Harvested corn with JD 9550 6-row combine, weighed rows 7-12 from each edge for yield. Machine harvest grain yields in bu/acre: C2=182, CC=155, CCW=150",NA
73,"2011",2,"CC","continuous_corn_stover_removed","1, 2, 3, 4","corn_grain",2011-10-03,"harvest_grain_combine",NA,NA,"John Deere 9950 combine",6,"rows","Harvested corn with JD 9550 6-row combine, weighed rows 7-12 from each edge for yield. Machine harvest grain yields in bu/acre: C2=182, CC=155, CCW=150",NA
74,"2011",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","corn_grain",2011-10-03,"harvest_grain_combine",NA,NA,"John Deere 9950 combine",6,"rows","Harvested corn with JD 9550 6-row combine, weighed rows 7-12 from each edge for yield. Machine harvest grain yields in bu/acre: C2=182, CC=155, CCW=150",NA
75,"2011",2,"CC","continuous_corn_stover_removed","1, 2, 3, 4","corn_stover",2011-10-05,"chop_stover",NA,NA,"bat-wing rotary mower",15,"feet","Shredded corn stalks on CC and CCW with 15' batwing rotary mower",NA
76,"2011",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","corn_stover",2011-10-05,"chop_stover",NA,NA,"bat-wing rotary mower",15,"feet","Shredded corn stalks on CC and CCW with 15' batwing rotary mower",NA
77,"2011",2,"CC","continuous_corn_stover_removed","1, 2, 3, 4","corn_stover",2011-10-10,"bale_stover",NA,NA,NA,NA,NA,"Rake and bale corn stover on CC and  CCW.  Dry stover yield was 2.34 ton/a CC & 2.30 ton/a CCW.  Dry stover removed: 1.07 ton/a CC & 0.98 ton/a CCW. Avg stover removed was 1.03 dry tons/acre = 44.3% corn stover removed",NA
78,"2011",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","corn_stover",2011-10-10,"bale_stover",NA,NA,NA,NA,NA,"Rake and bale corn stover on CC and  CCW.  Dry stover yield was 2.34 ton/a CC & 2.30 ton/a CCW.  Dry stover removed: 1.07 ton/a CC & 0.98 ton/a CCW. Avg stover removed was 1.03 dry tons/acre = 44.3% corn stover removed",NA
79,"2011",2,"CC","continuous_corn_stover_removed","1, 2, 3, 4","corn_stover",2011-10-10,"collect_litter",NA,NA,NA,NA,NA,"Collect litter on C2 plots: 4 x 0.28 m2 areas per plot",NA
80,"2011",2,"CC","continuous_corn_stover_removed","1, 2, 3, 4","corn_stover",2011-10-11,"collect_litter",NA,NA,NA,NA,NA,"Collect litter on CC and CCW plots plots: 4 x 0.28 m2 areas per plot",NA
81,"2011",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","corn_stover",2011-10-11,"collect_litter",NA,NA,NA,NA,NA,"Collect litter on CC and CCW plots plots: 4 x 0.28 m2 areas per plot",NA
82,"2011",2,"CC","continuous_corn_stover_removed","1, 2, 3, 4","corn_stover",2011-10-11,"weigh_stover",NA,NA,NA,NA,NA,"Weighed corn stover bales",NA
83,"2011",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","corn_stover",2011-10-11,"weigh_stover",NA,NA,NA,NA,NA,"Weighed corn stover bales",NA
84,"2011",4,"P","prairie","1, 2, 3, 4","prairie_biomass",2011-10-19,"harvest_plant_hand",NA,NA,NA,NA,NA,"Hand harvest Prairie plots with clippers ( 8 x 0.28 M2 areas per plot).  Dry wt was: 3.00 ton/acre P and 3.93 ton/acre for PF											
    Hand harvest yields in lb/acre: P=6,000  PF=7,860",NA
85,"2011",5,"PF","prairie_fertilized","1, 2, 3, 4","prairie_biomass",2011-10-19,"harvest_plant_hand",NA,NA,NA,NA,NA,"Hand harvest Prairie plots with clippers ( 8 x 0.28 M2 areas per plot).  Dry wt was: 3.00 ton/acre P and 3.93 ton/acre for PF											
    Hand harvest yields in lb/acre: P=6,000  PF=7,860",NA
86,"2011",4,"P","prairie","1, 2, 3, 4","prairie_biomass",2011-10-20,"mow","3-8",NA,"John Deere 5830 combine",NA,NA,"Aboveground biomass was harvested after plant senescence in mid-October 2009-2011. Biomass was first harvested with a self-propelled forage harvester (John Deere model 5830; John Deere Co., Moline, IL, USA) to a cut height of between 8 and 20 cm. Fresh weights of the biomass removed from the plots were determined in the field.",NA
87,"2011",5,"PF","prairie_fertilized","1, 2, 3, 4","prairie_biomass",2011-10-20,"mow","3-8",NA,"John Deere 5830 combine",NA,NA,"Aboveground biomass was harvested after plant senescence in mid-October 2009-2011. Biomass was first harvested with a self-propelled forage harvester (John Deere model 5830; John Deere Co., Moline, IL, USA) to a cut height of between 8 and 20 cm. Fresh weights of the biomass removed from the plots were determined in the field.",NA
88,"2011",4,"P","prairie","1, 2, 3, 4","prairie_biomass",2011-10-25,"collect_litter",NA,NA,NA,NA,NA,"Collect plant litter on P and PF plots plots: 4 x 0.28 m2 areas per plot",NA
89,"2011",5,"PF","prairie_fertilized","1, 2, 3, 4","prairie_biomass",2011-10-25,"collect_litter",NA,NA,NA,NA,NA,"Collect plant litter on P and PF plots plots: 4 x 0.28 m2 areas per plot",NA
