"planting_activity_pkey","study_year","treatment_fkey","treatment","treatment_long","blocks","crop","planting_date","seed_company","seed_hybrid","maturity_value","maturity_unit","trait_list","seeding_rate_value","seeding_rate_unit","planting_depth_inch","emergence_date","tractor","implement","original_entry","comment"
11,"2008",6,"S2","soy_corn_rotation","1, 2, 3, 4","soybean",2008-05-15,"Prairie","PB-2667NRR",NA,NA,"NRR",160234,"seeds/acre",NA,NA,NA,NA,"Plant soybeans - Praire Brand 2667 NRR @ 160,234 sds/a on soybean plots",NA
12,"2008",4,"P","prairie","1, 2, 3, 4","prairie_forbs",2008-05-19,NA,NA,NA,NA,NA,3.5,"lbs/acre",0,NA,NA,"Sean Blomgres's native grass seeder","Cutitpack and seed Praire plots with Sean Blomgres's native grass seeder.  Cutipack again after seeding. The prairie seeding rate was approximately 16 lb of seed/acre (which is a high seeding rate).  Within that, the seeding rate of the grasses was 12.5 lb of seed/acre – and the forb seed was the remainder.  Alternatively, the seeding rate was approximately 65 seeds/ft2",NA
13,"2008",5,"PF","prairie_fertilized","1, 2, 3, 4","prairie_forbs",2008-05-19,NA,NA,NA,NA,NA,3.5,"lbs/acre",0,NA,NA,"Sean Blomgres's native grass seeder","Cutitpack and seed Praire plots with Sean Blomgres's native grass seeder.  Cutipack again after seeding. The prairie seeding rate was approximately 16 lb of seed/acre (which is a high seeding rate).  Within that, the seeding rate of the grasses was 12.5 lb of seed/acre – and the forb seed was the remainder.  Alternatively, the seeding rate was approximately 65 seeds/ft2",NA
14,"2008",4,"P","prairie","1, 2, 3, 4","prairie_grasses",2008-05-19,NA,NA,NA,NA,NA,12.5,"lbs/acre",0,NA,NA,NA,"Cutitpack and seed Praire plots with Sean Blomgres's native grass seeder.  Cutipack again after seeding. The prairie seeding rate was approximately 16 lb of seed/acre (which is a high seeding rate).  Within that, the seeding rate of the grasses was 12.5 lb of seed/acre – and the forb seed was the remainder.  Alternatively, the seeding rate was approximately 65 seeds/ft2",NA
15,"2008",5,"PF","prairie_fertilized","1, 2, 3, 4","prairie_grasses",2008-05-19,NA,NA,NA,NA,NA,12.5,"lbs/acre",0,NA,NA,NA,"Cutitpack and seed Praire plots with Sean Blomgres's native grass seeder.  Cutipack again after seeding. The prairie seeding rate was approximately 16 lb of seed/acre (which is a high seeding rate).  Within that, the seeding rate of the grasses was 12.5 lb of seed/acre – and the forb seed was the remainder.  Alternatively, the seeding rate was approximately 65 seeds/ft2",NA
16,"2008",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","rye",2008-10-31,NA,"Rymin",173.5,"days after planting to 50% bloom",NA,90,"lbs/acre",NA,NA,NA,"6.5' Tye drill in 8 inch rows","CCW plots:  Seeded 90 lb/a Rymin winter rye with 6.5' Tye drill in 8"" rows",NA
17,"2009",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","rye",2009-11-06,NA,"Rymin",173.5,"days after planting to 50% bloom",NA,90,"lbs/acre",NA,NA,"John Deere 750","John Deere 750 10 ft no-till drill","CCW plots:  Seeded 90 lb/a Rymin winter rye with 10'-wide JD 750 no-till drill in 7.5"" rows",NA
18,"2010",1,"C2","corn_soy_rotation","1, 2, 3, 4","corn",2010-05-06,"AgriGold","6325 VT3",104,"Relative Maturity (RM)","YieldGard VT Rootworm; Roundup Ready 2; YieldGard Corn Borer",33400,"seeds/acre",NA,2010-05-21,NA,NA,"Plant corn  - Agrigold 6325 VT3 (104-d) @ 33,400 sds/a.  -with 22 gal/a of 32% UAN (78 lb./a N) - injected at 3"" depth; 4"" to side of each row. (no-till) Corn emerged 5-21-10. Trash unit was one hole showing for corn, all the way down for soybeans.",NA
19,"2010",2,"CC","continuous_corn_stover_removed","1, 2, 3, 4","corn",2010-05-06,"AgriGold","6325 VT3",104,"Relative Maturity (RM)","YieldGard VT Rootworm; Roundup Ready 2; YieldGard Corn Borer",33400,"seeds/acre",NA,2010-05-21,NA,NA,"Plant corn  - Agrigold 6325 VT3 (104-d) @ 33,400 sds/a.  -with 22 gal/a of 32% UAN (78 lb./a N) - injected at 3"" depth; 4"" to side of each row. (no-till) Corn emerged 5-21-10. Trash unit was one hole showing for corn, all the way down for soybeans.",NA
20,"2010",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","corn",2010-05-06,"AgriGold","6325 VT3",104,"Relative Maturity (RM)","YieldGard VT Rootworm; Roundup Ready 2; YieldGard Corn Borer",33400,"seeds/acre",NA,2010-05-21,NA,NA,"Plant corn  - Agrigold 6325 VT3 (104-d) @ 33,400 sds/a.  -with 22 gal/a of 32% UAN (78 lb./a N) - injected at 3"" depth; 4"" to side of each row. (no-till) Corn emerged 5-21-10. Trash unit was one hole showing for corn, all the way down for soybeans.",NA
21,"2010",6,"S2","soy_corn_rotation","1, 2, 3, 4","soybean",2010-05-06,"Pioneer","92Y30",2.3,"Relative Maturity (RM)","Peking SCN resistance; Roundup Ready",161400,"seeds/acre",NA,2010-05-23,NA,NA,"Plant soybeans - Pioneer 92Y30 (2.3 maturty group) @ 161,400 sds/a on soybean plots (no-till)  Soybeans emerged 5-23-10",NA
22,"2010",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","rye",2010-10-04,NA,"Rymin",173.5,"days after planting to 50% bloom",NA,90,"lbs/acre",NA,NA,"John Deere 750","John Deere 750 10 ft no-till drill","Seeded 90 lb/a Rymin winter rye on CCW plots with 10'-wide JD 750 no-till drill in 7.5"" rows",NA
23,"2011",1,"C2","corn_soy_rotation","1, 2, 3, 4","corn",2011-05-11,"AgriGold","6325 VT3",104,"Relative Maturity (RM)","YieldGard VT Rootworm; Roundup Ready 2; YieldGard Corn Borer",32400,"seeds/acre",3,2011-05-21,NA,NA,"Plant corn  - Agrigold 6325 VT3 (104-d) @ 32,400 sds/a.  -with 22 gal/a of 32% UAN (78 lb./a N) - injected at 3"" depth; 4"" to side of each row. (no-till) Corn emerged 5-21-11. Trash unit was one hole showing for corn, all the way down for soybeans.",NA
24,"2011",2,"CC","continuous_corn_stover_removed","1, 2, 3, 4","corn",2011-05-11,"AgriGold","6325 VT3",104,"Relative Maturity (RM)","YieldGard VT Rootworm; Roundup Ready 2; YieldGard Corn Borer",32400,"seeds/acre",3,2011-05-21,NA,NA,"Plant corn  - Agrigold 6325 VT3 (104-d) @ 32,400 sds/a.  -with 22 gal/a of 32% UAN (78 lb./a N) - injected at 3"" depth; 4"" to side of each row. (no-till) Corn emerged 5-21-11. Trash unit was one hole showing for corn, all the way down for soybeans.",NA
25,"2011",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","corn",2011-05-11,"AgriGold","6325 VT3",104,"Relative Maturity (RM)","YieldGard VT Rootworm; Roundup Ready 2; YieldGard Corn Borer",32400,"seeds/acre",3,2011-05-21,NA,NA,"Plant corn  - Agrigold 6325 VT3 (104-d) @ 32,400 sds/a.  -with 22 gal/a of 32% UAN (78 lb./a N) - injected at 3"" depth; 4"" to side of each row. (no-till) Corn emerged 5-21-11. Trash unit was one hole showing for corn, all the way down for soybeans.",NA
26,"2011",6,"S2","soy_corn_rotation","1, 2, 3, 4","soybean",2011-05-11,"Pioneer","92Y20",2.2,"Relative Maturity (RM)","Roundup Ready; Phytophthora root rot resistant",161400,"seeds/acre",NA,2011-05-22,NA,NA,"Plant soybeans - Pioneer 92Y20 (2.2 maturty group) @ 161,400 sds/a on soybean plots (no-till)  Soybeans emerged 5-22-11",NA
27,"2011",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","rye",2011-10-10,NA,"Rymin",173.5,"days after planting to 50% bloom",NA,90,"lbs/acre",NA,NA,"John Deere 750","John Deere 750 10 ft no-till drill","Seeded 90 lb/a Rymin winter rye on CCW plots with 10'-wide JD 750 no-till drill in 7.5"" rows",NA
28,"2012",1,"C2","corn_soy_rotation","1, 2, 3, 4","corn",2012-05-11,"Pioneer","P0448XR",104,"Comparative Relative Maturity (CRM)","Herculex XTRA; LibertyLink; Roundup Ready 2",32400,"seeds/acre",NA,2012-05-18,NA,NA,"Plant corn  - Pioneer P0448XR (104-d) @ 32,400 sds/a.  - with 22 gal/a of 32% UAN (78 lb./a N) - injected at 3"" depth; 4"" to side of each row. (no-till) Corn emerged 5-18-12. Trash unit was two holes showing for corn, one hole showing for soybeans.",NA
29,"2012",2,"CC","continuous_corn_stover_removed","1, 2, 3, 4","corn",2012-05-11,"Pioneer","P0448XR",104,"Comparative Relative Maturity (CRM)","Herculex XTRA; LibertyLink; Roundup Ready 2",32400,"seeds/acre",NA,2012-05-18,NA,NA,"Plant corn  - Pioneer P0448XR (104-d) @ 32,400 sds/a.  - with 22 gal/a of 32% UAN (78 lb./a N) - injected at 3"" depth; 4"" to side of each row. (no-till) Corn emerged 5-18-12. Trash unit was two holes showing for corn, one hole showing for soybeans.",NA
30,"2012",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","corn",2012-05-11,"Pioneer","P0448XR",104,"Comparative Relative Maturity (CRM)","Herculex XTRA; LibertyLink; Roundup Ready 2",32400,"seeds/acre",NA,2012-05-18,NA,NA,"Plant corn  - Pioneer P0448XR (104-d) @ 32,400 sds/a.  - with 22 gal/a of 32% UAN (78 lb./a N) - injected at 3"" depth; 4"" to side of each row. (no-till) Corn emerged 5-18-12. Trash unit was two holes showing for corn, one hole showing for soybeans.",NA
31,"2012",6,"S2","soy_corn_rotation","1, 2, 3, 4","soybean",2012-05-11,"Pioneer","92Y60-N343",2.6,"Relative Maturity (RM)",NA,161400,"seeds/acre",NA,2012-05-19,NA,NA,"Plant soybeans - Pioneer 92Y60-N343 (2.6 maturty group) @ 161,400 sds/a on soybean plots (no-till).  Soybeans emerged 5-19-12",NA
32,"2012",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","rye",2012-10-01,NA,"Rymin",173.5,"days after planting to 50% bloom",NA,90,"lbs/acre",NA,NA,"John Deere 750","John Deere 750 10 ft no-till drill","Seeded 90 lb/a Rymin winter rye on CCW plots with 10'-wide JD 750 no-till drill in 7.5"" rows",NA
33,"2013",1,"C2","corn_soy_rotation","1, 2, 3, 4","corn",2013-05-17,"Pioneer","P0448XR",104,"Comparative Relative Maturity (CRM)","Herculex XTRA; LibertyLink; Roundup Ready 2",32400,"seeds/acre",NA,2013-05-24,NA,NA,"Plant corn  - Pioneer P0448XR (104-d) @ 32,400 sds/a.  - with 22.6 gal/a of 32% UAN (80 lb/a N) - injected at 3"" depth; 4"" to side of each row. (no-till) Corn emerged 5-24-13. Trash unit was two holes showing for corn, one hole showing for soybeans.",NA
34,"2013",2,"CC","continuous_corn_stover_removed","1, 2, 3, 4","corn",2013-05-17,"Pioneer","P0448XR",104,"Comparative Relative Maturity (CRM)","Herculex XTRA; LibertyLink; Roundup Ready 2",32400,"seeds/acre",NA,2013-05-24,NA,NA,"Plant corn  - Pioneer P0448XR (104-d) @ 32,400 sds/a.  - with 22.6 gal/a of 32% UAN (80 lb/a N) - injected at 3"" depth; 4"" to side of each row. (no-till) Corn emerged 5-24-13. Trash unit was two holes showing for corn, one hole showing for soybeans.",NA
35,"2013",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","corn",2013-05-17,"Pioneer","P0448XR",104,"Comparative Relative Maturity (CRM)","Herculex XTRA; LibertyLink; Roundup Ready 2",32400,"seeds/acre",NA,2013-05-24,NA,NA,"Plant corn  - Pioneer P0448XR (104-d) @ 32,400 sds/a.  - with 22.6 gal/a of 32% UAN (80 lb/a N) - injected at 3"" depth; 4"" to side of each row. (no-till) Corn emerged 5-24-13. Trash unit was two holes showing for corn, one hole showing for soybeans.",NA
36,"2013",6,"S2","soy_corn_rotation","1, 2, 3, 4","soybean",2013-05-17,"Pioneer","92Y60",2.6,"Relative Maturity (RM)","PI88788 SCN resistance; Roundup Ready",161400,"seeds/acre",NA,2013-05-27,NA,NA,"Plant soybeans - Pioneer 92Y60 (2.6 maturty group) @ 161,400 sds/a on soybean plots (no-till).  Soybeans emerged 5-27-13",NA
37,"2013",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","rye",2013-10-21,NA,"Rymin",173.5,"days after planting to 50% bloom",NA,90,"lbs/acre",NA,NA,"John Deere 750","John Deere 750 10 ft no-till drill","Seeded 90 lb/a Rymin winter rye on CCW plots with 10'-wide JD 750 no-till drill in 7.5"" rows",NA
38,"2014",1,"C2","corn_soy_rotation","1, 2, 3, 4","corn",2014-05-20,"Pioneer","P0448AMX",104,"Comparative Relative Maturity (CRM)","Roundup Ready 2; LibertyLink; Herculex XTRA; Acre MAX; YieldGard Corn Borer",34600,"seeds/acre",NA,2014-05-26,"John Deere 6830","Kinze 3000 planter (6-row)","Planted corn (Pioneer P0448 AMX) in all corn plots (C2, CC, CCW) @ 34,600  seeds/acre using Kinze 6-row model 3000 planter and JD 6830 tractor. 104-day maturity with Roundup Ready, Liberty Link, Herculex XTRA, Acre MAX, and YieldGard traits. Seed treated with Poncho 1250 and PPST 250.22 gal/acre of 32% UAN applied with corn (=74.8 lb N/acre), injected into soil.",NA
39,"2014",2,"CC","continuous_corn_stover_removed","1, 2, 3, 4","corn",2014-05-20,"Pioneer","P0448AMX",104,"Comparative Relative Maturity (CRM)","Roundup Ready 2; LibertyLink; Herculex XTRA; Acre MAX; YieldGard Corn Borer",34600,"seeds/acre",NA,2014-05-26,"John Deere 6830","Kinze 3000 planter (6-row)","Planted corn (Pioneer P0448 AMX) in all corn plots (C2, CC, CCW) @ 34,600  seeds/acre using Kinze 6-row model 3000 planter and JD 6830 tractor. 104-day maturity with Roundup Ready, Liberty Link, Herculex XTRA, Acre MAX, and YieldGard traits. Seed treated with Poncho 1250 and PPST 250.22 gal/acre of 32% UAN applied with corn (=74.8 lb N/acre), injected into soil.",NA
40,"2014",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","corn",2014-05-20,"Pioneer","P0448AMX",104,"Comparative Relative Maturity (CRM)","Roundup Ready 2; LibertyLink; Herculex XTRA; Acre MAX; YieldGard Corn Borer",34600,"seeds/acre",NA,2014-05-26,"John Deere 6830","Kinze 3000 planter (6-row)","Planted corn (Pioneer P0448 AMX) in all corn plots (C2, CC, CCW) @ 34,600  seeds/acre using Kinze 6-row model 3000 planter and JD 6830 tractor. 104-day maturity with Roundup Ready, Liberty Link, Herculex XTRA, Acre MAX, and YieldGard traits. Seed treated with Poncho 1250 and PPST 250.22 gal/acre of 32% UAN applied with corn (=74.8 lb N/acre), injected into soil.",NA
41,"2014",6,"S2","soy_corn_rotation","1, 2, 3, 4","soybean",2014-05-20,"Kruger","K2-2402",2.4,"Relative Maturity (RM)","Roundup Ready 2 Yield",156000,"seeds/acre",NA,2014-05-28,"John Deere 6830","Kinze 3000 planter (6-row)","Planted soybean (Kruger K2 2402) in S2 plots with Kinze 6-row model 3000 planter and JD 6830 tractor. 2.4 maturity group @ 156,000 seeds/acre.",NA
42,"2014",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","rye",2014-10-22,NA,"unknown variety",NA,NA,NA,100,"lbs/acre",NA,NA,NA,"unspecified drill","Rye (variety not determined from Albert Lea Seed House) planted with a drill @ 100 lb/acre in CCW plots.",NA
43,"2015",1,"C2","corn_soy_rotation","1, 2, 3, 4","corn",2015-05-13,"Pioneer","P0448XR",104,"Comparative Relative Maturity (CRM)","Herculex XTRA; LibertyLink; Roundup Ready 2",32500,"seeds/acre",NA,2015-05-26,"John Deere 6430","unspecified planter (6-row)","Corn planted and UAN injected into CC, CCW and C2 plots. John Deere 6430 tractor with computerized flow meter and 6 row planter/tanks. Pioneer Corn Hybrid P0448XR planted at 32,500 seeds/acre. UAN 32 Injected at 75lbs/acre.",NA
44,"2015",2,"CC","continuous_corn_stover_removed","1, 2, 3, 4","corn",2015-05-13,"Pioneer","P0448XR",104,"Comparative Relative Maturity (CRM)","Herculex XTRA; LibertyLink; Roundup Ready 2",32500,"seeds/acre",NA,2015-05-26,"John Deere 6430","unspecified planter (6-row)","Corn planted and UAN injected into CC, CCW and C2 plots. John Deere 6430 tractor with computerized flow meter and 6 row planter/tanks. Pioneer Corn Hybrid P0448XR planted at 32,500 seeds/acre. UAN 32 Injected at 75lbs/acre.",NA
45,"2015",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","corn",2015-05-13,"Pioneer","P0448XR",104,"Comparative Relative Maturity (CRM)","Herculex XTRA; LibertyLink; Roundup Ready 2",32500,"seeds/acre",NA,2015-05-26,"John Deere 6430","unspecified planter (6-row)","Corn planted and UAN injected into CC, CCW and C2 plots. John Deere 6430 tractor with computerized flow meter and 6 row planter/tanks. Pioneer Corn Hybrid P0448XR planted at 32,500 seeds/acre. UAN 32 Injected at 75lbs/acre.",NA
46,"2015",6,"S2","soy_corn_rotation","1, 2, 3, 4","soybean",2015-06-02,"Asgrow","AG2632",2.6,"Relative Maturity (RM)","Roundup Ready 2 Yield",160000,"seeds/acre",NA,2015-06-08,"John Deere 6430","Kinze 6000 planter (6-row)","Soybeans planted, Asgrow 2632 variety used.  Planted in 30"" rows at 160,000 seeds per acre using John Deere 6430 tractor and Kinze 6000 6 row planter. In plot 16, the first pass was doubled.  Soybeans were hand seeded around the data loggers.",NA
47,"2015",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","rye",2015-10-16,"Albert Lea Seed","FS136",NA,NA,NA,NA,"lbs/acre",NA,NA,"John Deere 6430","John Deere 750 10 ft no-till drill","Winter Rye planted on CCW plots with John Deere 6430 tractor and 750 no till drill.  FS136 from Albert Lea Seed",NA
48,"2016",1,"C2","corn_soy_rotation","1, 2, 3, 4","corn",2016-05-17,"Pioneer","P1151AM",111,"Comparative Relative Maturity (CRM)","YieldGard Corn Borer; Herculex I; LibertyLink; Roundup Ready 2",35000,"seeds/acre",NA,NA,"John Deere 6430","Kinze 3000 planter (6-row)","Corn and Soybean planted with John Deere 6430 tractor and Kinze 3000 6 row planter. Soybean: Pioneer 92Y75 planted at 140,000 seeds/acre. Corn: Pioneer P1151AM planted at 35,000 seeds/acre w/ 75lbs/acre of Nitrogen (UAN-32) and 5lbs/acre of Force 3G insecticide. 5/18/2016 Hand seeded corn and soybean around sensors in blocks 1 and 2.",NA
49,"2016",2,"CC","continuous_corn_stover_removed","1, 2, 3, 4","corn",2016-05-17,"Pioneer","P1151AM",111,"Comparative Relative Maturity (CRM)","YieldGard Corn Borer; Herculex I; LibertyLink; Roundup Ready 2",35000,"seeds/acre",NA,NA,"John Deere 6430","Kinze 3000 planter (6-row)","Corn and Soybean planted with John Deere 6430 tractor and Kinze 3000 6 row planter. Soybean: Pioneer 92Y75 planted at 140,000 seeds/acre. Corn: Pioneer P1151AM planted at 35,000 seeds/acre w/ 75lbs/acre of Nitrogen (UAN-32) and 5lbs/acre of Force 3G insecticide. 5/18/2016 Hand seeded corn and soybean around sensors in blocks 1 and 2.",NA
50,"2016",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","corn",2016-05-17,"Pioneer","P1151AM",111,"Comparative Relative Maturity (CRM)","YieldGard Corn Borer; Herculex I; LibertyLink; Roundup Ready 2",35000,"seeds/acre",NA,NA,"John Deere 6430","Kinze 3000 planter (6-row)","Corn and Soybean planted with John Deere 6430 tractor and Kinze 3000 6 row planter. Soybean: Pioneer 92Y75 planted at 140,000 seeds/acre. Corn: Pioneer P1151AM planted at 35,000 seeds/acre w/ 75lbs/acre of Nitrogen (UAN-32) and 5lbs/acre of Force 3G insecticide. 5/18/2016 Hand seeded corn and soybean around sensors in blocks 1 and 2.",NA
51,"2016",6,"S2","soy_corn_rotation","1, 2, 3, 4","soybean",2016-05-17,"Pioneer","92Y75",2.7,"Relative Maturity (RM)","PI88788 SCN resistance; Roundup Ready",140000,"seeds/acre",NA,NA,"John Deere 6430","Kinze 3000 planter (6-row)","Corn and Soybean planted with John Deere 6430 tractor and Kinze 3000 6 row planter. Soybean: Pioneer 92Y75 planted at 140,000 seeds/acre. Corn: Pioneer P1151AM planted at 35,000 seeds/acre w/ 75lbs/acre of Nitrogen (UAN-32) and 5lbs/acre of Force 3G insecticide. 5/18/2016 Hand seeded corn and soybean around sensors in blocks 1 and 2.",NA
52,"2016",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","rye",2016-09-21,"Albert Lea Seed","Spooner",NA,NA,NA,100,"lbs/acre",NA,NA,"John Deere 4710 drop seeder (converted sprayer)",NA,"Rye seeded into standing corn of CCW plots. ""Spooner"" variety of hybrid rye from Albert Lea Seed was used at 100lbs/acre. John Deere 4710 was used- converted sprayer with Gandy box and 60ft drop seeder boom.",NA
53,"2017",1,"C2","corn_soy_rotation","1, 2, 3, 4","corn",2017-05-15,"Pioneer","P1197AMXT",113,"Comparative Relative Maturity (CRM)","Agrisure RW; YieldGard Corn Borer; Herculex XTRA",35000,"seeds/acre",NA,NA,"John Deere 8245R","John Deere 1770NT 12-row planter","Corn planted in C2, CC, and CCW plots.  Pioneer P1197AMXT hybrid planted at 35,000 seeds/acre. John Deere 8245R tractor and John Deere 1770NT 12 row planter were used. Plot 22 (S2) accidentally received a 12 row pass of corn, which will be terminated. C2, CC and CCW plots sprayed with Roundup Powermax (24 oz/acre), Corvus (5.6 oz/acre) and 75 lbs of N (UAN-32). Case patriot 3340 sprayer was used for herbicide and fertilizer application.",NA
54,"2017",2,"CC","continuous_corn_stover_removed","1, 2, 3, 4","corn",2017-05-15,"Pioneer","P1197AMXT",113,"Comparative Relative Maturity (CRM)","Agrisure RW; YieldGard Corn Borer; Herculex XTRA",35000,"seeds/acre",NA,NA,"John Deere 8245R","John Deere 1770NT 12-row planter","Corn planted in C2, CC, and CCW plots.  Pioneer P1197AMXT hybrid planted at 35,000 seeds/acre. John Deere 8245R tractor and John Deere 1770NT 12 row planter were used. Plot 22 (S2) accidentally received a 12 row pass of corn, which will be terminated. C2, CC and CCW plots sprayed with Roundup Powermax (24 oz/acre), Corvus (5.6 oz/acre) and 75 lbs of N (UAN-32). Case patriot 3340 sprayer was used for herbicide and fertilizer application.",NA
55,"2017",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","corn",2017-05-15,"Pioneer","P1197AMXT",113,"Comparative Relative Maturity (CRM)","Agrisure RW; YieldGard Corn Borer; Herculex XTRA",35000,"seeds/acre",NA,NA,"John Deere 8245R","John Deere 1770NT 12-row planter","Corn planted in C2, CC, and CCW plots.  Pioneer P1197AMXT hybrid planted at 35,000 seeds/acre. John Deere 8245R tractor and John Deere 1770NT 12 row planter were used. Plot 22 (S2) accidentally received a 12 row pass of corn, which will be terminated. C2, CC and CCW plots sprayed with Roundup Powermax (24 oz/acre), Corvus (5.6 oz/acre) and 75 lbs of N (UAN-32). Case patriot 3340 sprayer was used for herbicide and fertilizer application.",NA
